# 开心输入法自维护的基础候选覆盖表
# 来源：项目作者使用生成式 AI 辅助添加并人工纳入；详见 docs/licenses/AI_DATA_PROVENANCE.md
# 格式：词语<TAB>无声调拼音<TAB>权重
你好	ni hao	20000000
世界	shi jie	15000000
你好世界	ni hao shi jie	12000000
计算机	ji suan ji	10000000
网络	wang luo	9000000
计算机网络	ji suan ji wang luo	8000000
显示	xian shi	8000000
现实	xian shi	7500000
限时	xian shi	3000000
县市	xian shi	2500000
现时	xian shi	2000000
先是	xian shi	1800000
闲适	xian shi	1500000
闲事	xian shi	1400000
教师	jiao shi	8000000
教室	jiao shi	7500000
教士	jiao shi	3000000
礁石	jiao shi	2500000
校史	jiao shi	2000000
浇湿	jiao shi	1800000
嚼食	jiao shi	1500000
西安	xi an	10000000
先	xian	8000000
谢谢	xie xie	10000000
今天	jin tian	10000000
开心	kai xin	10000000
暗管	an guan	5000000
安规	an gui	5000000
简略	jian lve	8000000
简略	jian lue	7900000
虐	nue	8000000
暴虐	bao nue	8000000
暴虐	bao nve	7900000
率	lv	7000000
𰻝𰻝	biang biang	6000000
欻欻	chua chua	6000000
这	zhei	7000000
重	chong	7000000
长	chang	7000000
行	hang	7000000
乐	yue	7000000
着	zhao	7000000
花儿	hua er	7000000
中华人民共和国	zhong hua ren min gong he guo	12000000
成都	cheng du	9000000
没问题	mei wen ti	9000000
