# 开心输入法自维护多音词校正表
# 来源：项目作者使用生成式 AI 辅助添加并人工纳入；详见 docs/licenses/AI_DATA_PROVENANCE.md
# 格式：词语<TAB>无声调拼音<TAB>可选作用范围；长匹配优先。
# 作用范围为 substring（默认，可用于更长词语中的子串）或 exact（只校正完整词语）。
银行	yin hang
行业	hang ye
行长	hang zhang
行家	hang jia
行列	hang lie
行情	hang qing
行为	xing wei
行动	xing dong
行走	xing zou
重新	chong xin
重复	chong fu
重叠	chong die
重庆	chong qing
重要	zhong yao
重量	zhong liang
音乐	yin yue
乐器	yue qi
乐曲	yue qu
乐队	yue dui
快乐	kuai le
欢乐	huan le
长江	chang jiang
长大	zhang da
长高	zhang gao
长相	zhang xiang
校长	xiao zhang
处长	chu zhang
了解	liao jie
了结	liao jie
觉得	jue de
睡觉	shui jiao
午觉	wu jiao
教室	jiao shi
教师	jiao shi
教学	jiao xue
教书	jiao shu
处理	chu li
处分	chu fen
处置	chu zhi
到处	dao chu
处所	chu suo
便宜	pian yi
方便	fang bian
便利	bian li
假期	jia qi
放假	fang jia
请假	qing jia
假如	jia ru
假设	jia she
当作	dang zuo
适当	shi dang
应该	ying gai
应当	ying dang
回应	hui ying
答应	da ying
转身	zhuan shen
转弯	zhuan wan
转账	zhuan zhang
转动	zhuan dong
归还	gui huan
还款	huan kuan
偿还	chang huan
还是	hai shi
还有	hai you
数字	shu zi
数据	shu ju
数量	shu liang
数学	shu xue
数落	shu luo
数一数	shu yi shu
参加	can jia
参观	can guan
人参	ren shen
差别	cha bie
差异	cha yi
出差	chu chai
差劲	cha jin
差不多	cha bu duo
朝阳	chao yang
朝代	chao dai
朝廷	chao ting
一朝一夕	yi zhao yi xi
藏族	zang zu
西藏	xi zang
收藏	shou cang
宝藏	bao zang
屏幕	ping mu
屏障	ping zhang
屏息	bing xi
空调	kong tiao
调节	tiao jie
调整	tiao zheng
调查	diao cha
曲线	qu xian
歌曲	ge qu
曲折	qu zhe
单独	dan du
单位	dan wei
姓单	xing shan
单于	chan yu
模型	mo xing
模样	mu yang
模具	mu ju
模糊	mo hu
角色	jue se
角度	jiao du
主角	zhu jue
配角	pei jue
血液	xue ye
鲜血	xian xue
流血	liu xue
血淋淋	xie lin lin
薄弱	bo ruo
薄荷	bo he
薄饼	bao bing
薄片	bao pian
曝光	bao guang
一曝十寒	yi pu shi han
露出	lu chu
露面	lou mian
露馅	lou xian
下载	xia zai
记载	ji zai
载体	zai ti
一年半载	yi nian ban zai
给予	ji yu
供给	gong ji
送给	song gei
结实	jie shi
结果	jie guo
结婚	jie hun
结果子	jie guo zi
干净	gan jing
干活	gan huo
树干	shu gan
干部	gan bu
看见	kan jian
看守	kan shou
看门	kan men
着急	zhao ji
着火	zhao huo
着手	zhuo shou
穿着	chuan zhuo
沿着	yan zhe
着数	zhao shu
